Name,Description
Pathway Capital Management,"Pathway Capital Management (Pathway) is an American private markets firm headquartered in Irvine California. The majority of the firm's assets are in private fund of funds strategies for institutional investors. In 2020, Preqin ranked the firm as the fifth-largest fund of funds globally with $62 billion in assets under management.
Outside the U.S., the firm has offices in Europe and Asia-Pacific."
Paul Capital,"Paul Capital is a private equity investment firm made up of a fund of funds, secondary investments and a healthcare direct investment (royalty and revenue interest financing) business.  The firm has more than 100 employees and manages more than $7 billion across its three distinct investment platforms.
Paul Capital has offices in Hong Kong, London, New York City, Paris, São Paulo and San Francisco, as well as a network of regional representatives with local expertise in North America, Latin America, the United Kingdom, Western Europe, Central Europe, Eastern Europe, the Middle East, South Africa, Asia and Australia."
Peak6,"PEAK6 Investments LLC (Peak6) is an American financial services company headquartered in Austin, Texas. Originally dealing in options proprietary trading, it has expanded into other businesses most notably investment management and fintech.
PEAK6 places emphasis on Diversity, equity, and inclusion."
Perceptive Advisors,"Perceptive Advisors (""Perceptive"") is an American investment firm headquartered in New York City. It is focused on making public and private investments in the healthcare and biotechnology industries."
Permal Group,"Permal Group is a British investment management firm focused on hedge funds and private equity funds for international investors.  
Permal was founded in 1973 and operates one of the oldest fund of hedge funds and as of 2013, manages approximately $22 billion in assets.  Clients include sovereign wealth funds, pension funds, endowments, foundations, insurance companies, family offices, private banks and high-net-worth individuals. 
Its CEO is Omar Kodmani and its Chairman is Isaac R. Souede. Permal is headquartered in London, with offices in New York, Boston, Singapore, Paris, Nassau, Dubai, Hong Kong, and Beijing."
Permira,"Permira Holdings Limited is a British global investment firm specialised in buyouts, growth funds, equity funds, and credit funds. Founded in 1985 as part of Schroders, it became independent in 1996. Operating as Permira since 2001, the company became one of the largest buyout specialists. As of 2024, Permira advises funds with total committed capital of €80 billion, which have invested in more than 300 companies worldwide. The company employs over 470 people in 15 offices across Europe, North America and Asia.
In June 2024, Permira ranked 20th in Private Equity International's PEI 300 ranking among the world's largest private equity firms.

"
Petershill Partners,"Petershill Partners is a British investment company specialising in alternative investments. Investors in the business are able to participate, through minority investments, in the profits of large private equity and hedge funds. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index."
Phoenix Equity Partners,Phoenix Equity Partners is a United Kingdom mid-market private equity firm. It specialises in working with management teams to help grow their businesses. It invests in companies valued at up to £150m.
Platinum Equity,"Platinum Equity, LLC is an American private equity investment firm founded by Tom Gores in 1995, headquartered in Beverly Hills, California. The firm focuses on leveraged buyout investments of established companies in the U.S., Europe and Asia.
In June 2024, Platinum Equity ranked 40th on Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Privateer Holdings,"Privateer Holdings is an American private equity company that invests in the legal cannabis industry. It is headquartered in Seattle, Washington and employs more than 350 people in seven countries. 
Privateer Holdings secured the first institutional investor to enter the cannabis industry, Founders Fund.
In 2019, Privateer Holdings was merged with Tilray."
Providence Equity,"Providence Equity Partners L.L.C. is a specialist private equity investment firm focused on media, communications, education, and technology investments across North America and Europe. The firm specializes in growth-oriented private equity investments and has invested in more than 170 companies globally since its inception in 1989.
The firm manages funds with over $31 billion in aggregate private equity capital commitments, making it a large global player in the private equity industry. Providence was one of the principal pioneers of a sector-based approach to private equity investing. The firm's eighth fund, Providence Equity Partners VIII, closed on $6 billion in 2019, above its $5 billion target. The prior fund, Providence VII, closed with $5 billion in 2013.
Providence is headquartered in Providence, Rhode Island with additional offices in New York, Boston, London and Atlanta."
Quadrangle Group,"Quadrangle Group LLC is a private investment firm focused on private equity.  The firm invests in middle-market companies within the media, communications and information-based sectors.
The firm, which is based in New York City, was founded in 2000, has raised approximately $3 billion of private equity capital since inception and employs approximately 40 investment professionals in offices in New York and Hong Kong.
Quadrangle's private equity business, Quadrangle Capital Partners, raised a $1.1 billion fund in 2000, followed by a $2.0 billion fund in 2005.  Citing a not-further-identified ""investor letter"", a Feb. 2010 news report said the first fund had already returned the full amount to its investors and retained stakes in several companies, while the second fund had about $500 million left to invest and was up 19 percent in 2009. No 2008 fund was referenced in the report.
In February, 2009, Steven Rattner left Quadrangle when he was named as lead auto industry adviser to United States Treasury Department Secretary Timothy Geithner. A report at the time said that Michael Huber, who joined the firm in 2000, and Joshua L. Steiner would become co-presidents of the firm."
Quantum Capital Group,"Quantum Capital Group, previously known as Quantum Energy Partners, is a Houston, Texas-based private equity firm focused on the energy industry."
RA Capital Management,"RA Capital Management (RA Capital) is an American investment firm based in Boston. It is focused on making public and private investments in the healthcare, biotechnology, and planetary health industries."
Regent LP,"Regent, L.P. is an American multi-sector private equity firm based in Beverly Hills, California. Many of Regent's investments have been in the software, technology, consumer products, retail and media space. Its founder and chairman is Michael Reinstein."
Reinet Investments,"Reinet Investments S.C.A. is a Luxembourg-based investment vehicle that was demerged from the Swiss luxury goods company Richemont on 20 October 2008. It is listed on the Luxembourg Stock Exchange (LuxSE), and at 2020 is the third-largest component of the LuxX Index."
Resilience Capital Partners,"Resilience Capital Partners is a Cleveland based private equity firm founded in 2001 by Steven H. Rosen and Bassem A. Mansour.
The firm invests in manufacturing and business services companies in the Eastern and Midwestern United States, companies typically between $25 million and $250 million in annual revenue."
Rhône Group,"Rhône Group is a global private equity firm with approximately $11 billion of assets under management, specializing in mergers and acquisitions, leveraged buyouts, recapitalizations, and partnerships with particular focus on European and trans-Atlantic investments. Rhône also offers financial advisory services, strategic alliances, joint partnerships, and business valuation services. Rhone Group was listed in 2013 to 2014 by Preqin as the 'Most Consistent Performing Private Equity Fund Manager' based on both its multiple and IRR of all 3 funds in the top quartile ranking.
Rhône is headquartered at the International Building at Rockefeller Center in New York City, with additional offices in London and Paris. Rhône was founded in 1995 by billionaire investors Robert Agostinelli and Steven Langman. The pair have been managing Rhône since inception. The company tends to invest in energy, materials, industrials, retailing, consumer staples, healthcare, and financial sectors. The company is a U.S. Securities and Exchange Commission Registered Investment Advisor. Investors include government and private sector pension and retirement funds, charitable foundations, university endowments, insurance companies, family savings and sovereign wealth funds. It focuses primarily on investments in European and trans-Atlantic companies."
Ridgemont Equity Partners,"Ridgemont Equity Partners is a private equity firm focused on making investments in middle-market companies in the U.S. within certain industries such as basic industrial, energy, healthcare, telecommunications, media and technology.  The firm focuses on equity investments up to US$250 million.
Prior to forming Ridgemont in 2010, the team previously had been known as BAML Capital Partners, and prior to that Bank of America Capital Investors.  Since 1993, Ridgemont and its predecessors have invested over US$4.4 billion of equity capital.
The firm is based in Charlotte, North Carolina."
Ripplewood Holdings,"Ripplewood is an American private equity firm based in New York City that focuses on leveraged buyouts, late stage venture, growth capital, management buyouts, leveraged recapitalizations and other illiquid investments.
Ripplewood was founded by its current CEO, Tim Collins. Managing partners include Lawrence Lavine, Harris Williams and Michael C. Duran. The company's main interests range from telecommunications to banking to entertainment.  The firm manages more than $10 billion in capital."
Risk Capital Partners,"Risk Capital Partners LLP is a London-based private equity firm, co-founded in 2001 by Ben Redmond and Luke Johnson. The firm invests in numerous sectors, including leisure, retail, media, healthcare, IT services, financial services and support services."
Riverstone Holdings,"Riverstone Holdings is a multinational private equity firm based in New York City focused on leveraged buyout, growth capital, and credit investments in the energy industry and electrical power industry sectors.  The firm focuses on oil and gas exploration, midstream pipelines, electricity generation, energy and power services, energy and power technology, and renewable energy infrastructure and technology. Riverstone has raised approximately $41 billion since the firm's inception in 2000."
Roark Capital Group,"Roark Capital Management, LLC, also known as Roark Capital Group or simply Roark Capital, is an American private equity firm with around $37 billion in assets under management. The firm is focused on leveraged buyout investments in middle-market companies, primarily in the franchise/multi-location, restaurant and food, health and wellness, and business services sectors. It is named for Howard Roark, the protagonist in Ayn Rand's novel The Fountainhead. The firm claims that its name is not meant to connote any particular political philosophy but instead signify the firm's admiration for the iconoclastic qualities of independence and self-assurance embodied by the central figure in The Fountainhead."
SKKY Partners,
SVG Capital,"SVG Capital (LSE: SVI) was a leading British private equity and investment management business. Headquartered in London, it was listed on the London Stock Exchange."
Searchlight Capital,"Searchlight Capital Partners is a private equity firm based in the United States, United Kingdom and Canada, with $15 billion in assets under management."
Sentinel Capital Partners,"Sentinel Capital Partners, L.L.C. is an American private-equity firm focusing on mid-market companies. The company is headquartered in New York City and was founded in 1994 by David Lobel and John McCormack after working together at Salomon Smith Barney."
Silchester International Investors,"Silchester International Investors LLP is a London-based investment management company. One of the ""designated members"" of the limited liability partnership was Silchester Partners Limited until 30 June 2016, which was also the predecessor of the LLP. The other ""designated members"" were Stephen Charles Butt, Michael John Julian Cowan and Timothy John Linehan.
The company had a subsidiary in the US as Silchester International Investors, Inc..
Silchester International Investors made £92.5 million profit (after drawing) in 2015–16 financial year.
The firm is notable for its investments. It prevented TVB's share buy back program, which the program was criticized as a mean to increase the ownership ratio of the majority shareholder, by using TVB's own financial resource."
Silva International Investments,"Silva International Investments is a London-based investment company, founded on 1 May 2015 by Riccardo Silva. The firm manages and invests in assets across multiple sectors, including media, sport, fashion, technology and real estate."
Silver Lake (investment firm),"Silver Lake Technology Management, L.L.C., is an American global private equity firm focused on technology and technology-enabled investments. Silver Lake is headquartered in Silicon Valley and New York, and has offices in London, Hong Kong, and Singapore.
In June 2024, Silver Lake was ranked 12th in Private Equity International's PEI 300 ranking of the largest private equity firms in the world."
Silverfleet Capital,"Silverfleet Capital is a regionally focused European mid-market private equity firm.
Silverfleet is an independent firm, owned by its partners, and invests on behalf of a diversified group of international institutional investors. Silverfleet Capital specialises in mid-market private equity investment, in international companies operating in a number of different countries, where there is an opportunity to accelerate growth from buy and build and roll-out strategies. It invests across four sectors: healthcare, services, consumer and manufacturing.
In August 2006, Silverfleet Capital Partners LLP was established.
In October 2010, in a secondary buyout for an undisclosed amount, Silverfleet acquired Schneider Group, a German catalogue and online retailer of branded promotional and home furnishing goods, from Barclays Private Equity.
In 2014, Silverfleet backed SPAC Mirror Bidco in its acquisition of AGR Holdings AS from AGR Group ASA. 
In June 2015, Silverfleet acquired the Danish clothing company Masai. In November 2015, Silverfleet sold the British footwear retail chain Office to South African fashion retailer Truworths for £256m, achieving a 3.4 x return on its 2010 purchase from Scottish entrepreneur Tom Hunter.
In 2016, Silverfleet Capital sold meat product casings manufacturer Kalle Group to investors managed by Clayton, Dubilier & Rice (CD&R). Silverfleet had acquired a majority stake in Kalle Group in 2009.
In November 2017, Silverfleet Capital sold Berlin based Competence Call Center Group (CCC) back to Ardian, formerly AXA Private Equity. Silverfleet had acquired a majority share from Ardian four years earlier in 2013. In December 2017, Silverfleet acquired a majority stake in Riviera Travel, a river cruise and tour operator focused on the ""over-55s"".
In July 2021, Silverfleet abandoned its fundraising for its third fund refocusing on follow-on investments and realizations of its portfolio.
A majority stakeholder in German Pumpenfabrik Wangen for five years, Silverfleet sold its stake to Atlas Copco for an undisclosed amount in 2022. In July 2022, Silverfleet sold Prefere Resins, a company specializing in phenolic and melamine resins acquired in 2018 from Prefere Resin management, capiton AG and Intermediate Capital Group, to US private equity firm One Rock Capital Partners."
SoftBank Capital,"SoftBank Capital is a venture capital group in the United States, focusing on technology and telecom early stage businesses. It was founded by SoftBank. Since 2015 it does not actively make investments, but it continues to oversee its prior portfolio."
Spell Capital Partners,"Spell Capital Partners is a private equity firm based in Edina, Minnesota. William ""Bill"" Spell founded the firm in 1988. The firm has been investing exclusively on behalf of the Spell Family Office since 2018.
The firm has closed 41 leveraged buyout (LBO) transactions since 1988.
The firm historically has managed both private equity and mezzanine capital. The private equity group focuses on acquiring majority control interests in industrial manufacturing companies, while Spell Capital Mezzanine provides subordinated debt and non-control equity ownership to businesses in a variety of industries. During the summer of 2022, as part of Mr. Spell's succession planning strategy, the mezzanine group was sold to the partners and employees that managed that group.
Currently, The firm has $700 Million of assets under management (AUM), and manages seven portfolio companies owned by the Spell Family Office and three on behalf of Spell Capital Partners Fund V (a 2016 vintage fund)."
StepStone Group,"StepStone Group LP is a global private markets firm providing customized investment, portfolio monitoring and advice to investors. StepStone covers primary fund investments, secondary fund investments and co-investments across private equity, real estate, infrastructure and real assets, and private debt."
Stirling Square Capital Partners,"Stirling Square Capital Partners is a London-based private equity firm that invests in companies across Europe valued at €50-500 million.
Stirling Square was founded in 2002, and has ""total committed capital in excess of €1 billion"".
Stirling Square are based in Duke of York's Square, Chelsea, London.
The co-founding partners of the firm are Stefano Bonfiglio and Gregorio Napoleone."
Stonepeak,"Stonepeak (also known as Stonepeak Partners and Stonepeak Infrastructure Partners) is an American investment firm headquartered in New York City. The firm focuses on investments in infrastructure and more recently real estate. The firm has additional offices in Hong Kong, Houston, London, Sydney and Singapore.
In 2022, the firm was ranked by Infrastructure Investor (under Private Equity International) as the sixth largest infrastructure investment firm based on total fundraising over the most recent five-year period."
Stripes (growth equity firm),"Stripes (Stripes, LLC) is a private equity and venture capital firm based in Manhattan, New York, founded in 2008. In 2024, Stripes has US$7 billion of assets under management and more than 80 investments. Notable investments include A24, GoFundMe, GrubHub, On Running and Monday.com."
Summit Partners,"Summit Partners is an American investment firm based in Boston, Massachusetts. The firm focuses on investing in technology, healthcare, life sciences and other growth industries."
Sun Capital Partners,"Sun Capital Partners, Inc., is an American private equity firm specializing in leveraged buyouts. Sun Capital was founded in 1995 by Marc J. Leder and Rodger Krouse, former classmates at the Wharton School of the University of Pennsylvania and  investment bankers at Lehman Brothers."
Sun Capital Partners (UK),Sun Capital Partners Limited is a British private equity firm headquartered in Central London.
Sutter Hill Ventures,"Sutter Hill Ventures is an American private equity firm focused on venture capital investments in technology-based start-up companies.  Founded in 1964, Sutter Hill is one of the oldest venture capital firms still in operation. Based in Palo Alto, CA, the firm is primarily focused on investments in the fields of networking and computer technology, business and financial services, healthcare, web development, and pop culture, and have been known to invest in angel funds."
Sycamore Partners,Sycamore Partners is an American private equity firm based in New York specializing in retail and consumer investments. The firm has approximately $10 billion in aggregate committed capital.
Symphony Technology Group,"STG Partners, LLC (STG) is an American private equity firm and based in Menlo Park, California. Its predecessor, Symphony Technology Group (""Symphony"") was founded  in 2002 by Romesh Wadhwani, who recruited William Chisholm and Bryan Taylor to join him in the founding of Symphony. In 2017, Symphony was reorganized as STG Partners. As of March 2025, STG Partners managed approximately $12 billion in 19 pooled investment vehicle for its clients. The firm itself has less than one billion dollars in assets."
Synova,"Synova is a growth focused investor supporting European companies valued between £20m and £250m. The firm manages £1.7bn of capital on behalf of institutional investors and family offices and invests across three interrelated sectors: Software & Data, Tech Enabled Services and Financial Services. Synova partners with founders and managers to accelerate growth and drive exceptional returns. Synova is currently investing across the full mid-market spectrum from its £875m fifth fund, raised in 2022, which includes a dedicated £250m pool of capital, Chrysalis, to support smaller growth companies.
The firm was named Private Equity House of the Year at the 2025, 2022 and 2020 Private Equity Awards and House of the Year at the 2022 and 2019 British Private Equity Awards. According to Preqin in 2024 Synova's returns place the firm as Europe's top performing private equity fund.
Synova was founded in 2007 by its managing partners, David Menton and Philip Shapiro. Synova's other partners include Alex Bowden, Daniel Silverton-Parker, Zachary Tsai, Sunil Jain and Ben Snow.
Synova's 2007 Fund I was fully realised in 2018 generating a 4x return for investors. Synova's £110m 2013 Fund II has now returned 3.5x its total invested capital. Synova closed its 2016 third fund at £250m which is performing strongly with 4x its total invested capital returned to date. Synova closed its 2019 fourth fund at its £365m hard cap and its 2022 Fund V at its £875m hard cap.
Notable exits include the sale of Kinapse to Hg Capital generating a 16x return, the sale of Tonic Games to Epic Games for a 9x return and 200% IRR, the sale of Mandata for a 8x return and the sale of Mintec to Five Arrows Principal Investments for a 12x return. Synova’s average return on realised investments exceeds 6x invested capital."
TA Associates,"TA Associates Management, L.P. is an American private equity firm and was one of the early modern-era private equity firms in the United States. The firm leads buyouts and minority recapitalizations of profitable growth companies. TA invests across five industry groups: technology, healthcare, consumer products, financial services and business services.
TA Associates has raised $47.5 billion of capital since inception. Since its founding, the firm has invested in more than 560 companies, and been ranked among the 50 largest private equity firms (ranked 27 in 2022) globally.
The firm is headquartered in Boston, Massachusetts, with additional offices in Menlo Park, Austin, London, Mumbai and Hong Kong. As of July 2022, TA had more than 110 investment professionals.
In June 2024, TA Associates ranked 19th in Private Equity International's PEI 300 ranking among the world's largest private equity firms.
On March 26, 2025, TA Associates was named 'Mid-Market Firm of the Year in the Americas' by Private Equity International."
TCG (company),"TCG Capital Management, LP, doing business as TCG or the Chernin Group, is an American investment advisory firm focused on private equity investments in the media, entertainment, technology, sports and consumer and digital media sectors."
TCV (investment firm),"TCMI, Inc. better known by the name TCV (Technology Crossover Ventures) is an American investment firm based in Menlo Park, California. The firm mainly invests in public and private growth-stage companies in the technology industry."
TDR Capital,"TDR Capital LLP is a British private equity firm headquartered in London, England."
TJC L.P.,"TJC L.P. (formerly known as The Jordan Company) is a private equity firm focused on leveraged buyout and management buyout investments in smaller middle-market companies across a range of industries.
The firm, a limited partnership based in New York City, was founded in 1982.  The Jordan Company was founded by John W. Jordan II, prior to which he spent nine years at Carl Marks & Co., a merchant banking firm.
Since its founding, the firm has completed over 90 investments and raised approximately $6 billion of investor commitments across its two Jordan Resolute funds and older pledge vehicles.  Jordan's 2002 fund raised $1.5 billion of commitments and its second fund in 2007 raised $3.6 billion of capital.
Among the dozens of current and prior investments completed by TJC are the following: American Safety Razor Company, Bojangles' Famous Chicken 'n Biscuits (in conjunction with Durational Capital Management), Carmike Cinemas, Fannie May, Great American Cookie, Harvey Gulf, Lepage's Industries, Lincoln Industrial Corporation, Newflo Corporation, RockShox, Rockwood Industries, TAL International Group, Universal Technical Institute and Vivid Imaginations.
It acquired ACR Electronics and Drew Marine in November 2013.
In 2018, the company raised $3.63 billion for its fourth fund, according to a filing with the Securities and Exchange Commission. In 2020, TJC joined Diligent Corporation's Modern Leadership Initiative and pledged to create five new board roles among its portfolio companies for racially diverse candidates.
In May 2021, the company purchased a majority share of engineered plastics manufacturer Spartech from Nautic Partners for an undisclosed amount.
On November 27 2023, TJC L.P. announced that it had agreed to purchase L3Harris' Commercial Aviation Solutions business for up to $800 million."
TPG Angelo Gordon,"TPG Angelo Gordon (formerly Angelo Gordon) is a global alternative investment manager founded in 1988 by John Angelo and Michael Gordon who together ran the arbitrage department of L.F. Rothschild in the 1980s. The firm focuses on four main investment disciplines: credit, real estate, private equity, and multi-strategy.
Within those broad categories, the firm offers products in distressed debt and non-investment grade corporate credit, convertible and merger arbitrage, residential and consumer debt, energy direct lending, real estate private equity, real estate debt and  lending, net lease real estate, private equity, multi-strategy, and middle market direct lending. It offers two types of investment structures: open-ended hedge fund products and closed-ended private equity-style products.
The firm is headquartered in New York City with additional offices worldwide including in San Francisco, Los Angeles, Chicago, London, Amsterdam, Hong Kong, Seoul, Frankfurt, Tokyo and Singapore.
On November 2, 2023, TPG Inc. announced that it had completed the acquisition of Angelo Gordon."
TPG Inc.,"TPG Inc., previously known as Texas Pacific Group and TPG Capital, is an American private equity firm based in Fort Worth, Texas. TPG manages investment funds in growth capital, venture capital, public equity, and debt investments. The firm invests in a range of industries including consumer/retail, media and telecommunications, industrials, technology, travel, leisure, and health care. TPG became a public company in January 2022, trading on the NASDAQ under the ticker symbol “TPG”. 

"
TPH Partners,"TPH Partners is a private equity firm headquartered in Houston, Texas, USA."
TSG Consumer Partners,"TSG Consumer Partners is an American private equity company based in San Francisco, California. The firm was founded in 1986, and was among the first private equity firms to invest exclusively in consumer companies.
The firm also has offices in New York City, Stamford, Connecticut, and London. 

"
Tamares Group,"Tamares Group is a private investment group based in London. Tamares has international interests in real estate, finance, technology, communications, manufacturing, leisure and media. The group invests in a number of different private and public companies, and in real estate properties.
Tamares was founded after the Second War by Shlomo Zabludowicz, an entrepreneur of Polish Jewish origin. Since 1990, it has been headed by his son, Poju Zabludowicz.
Today, Tamares Group holds a $3 billion portfolio. Its real estate holdings encompass 2.3 million square feet of office space."
Tavistock Group,"Tavistock Group is a Bahamas-based private investment organization founded in 1975. The company is headquartered in the offshore financial center of The Commonwealth of The Bahamas and has offices in 13 countries; Bahamas, the United Kingdom, Australia, Canada, Mexico, the United States, Jamaica, Argentina, Poland, Moldova, Romania, Bulgaria, and Sri Lanka."
Terra Firma Capital Partners,"Terra Firma Capital Partners Limited is a British private equity firm.  Financier Guy Hands founded the firm in 2002 through the spin-off of Nomura Principal Finance Group.  The firm, which traces its roots to the formation of its predecessor in 1994, has invested over €14 billion since inception.
Terra Firma invests across a range of sectors and has focused on leveraged buyouts of large, asset-rich businesses, often with complex structural or regulatory issues.  The firm often targets under-performing businesses in need of strategic, operational, or management change.
Terra Firma is headquartered in London with offices in Guernsey and Beijing. It has a staff of over 90 employees."
The Gores Group,"The Gores Group, LLC is a private equity firm specializing in acquiring and partnering with mature and growing businesses. The company was founded in 1987 by its CEO and chairman, Alec E. Gores.
Headquartered in Beverly Hills, California, with an office in Boulder, Colorado, and is investing from Gores Capital Partners III, L.P. and Gores Small Capitalization Partners, L.P., which have approximately $1.5 billion and $300 million in capital commitments, respectively. Since 1987, Gores has successfully acquired and operated more than 80 companies.
The company's portfolio as of 2021, includes technology, telecommunications, business services, industrial, media and entertainment and consumer products companies.

"
The Tornante Company,"The Tornante Company, LLC is an American privately held investment firm founded in 2005 and owned by former Paramount Pictures and The Walt Disney Company CEO Michael Eisner. Tornante invests in, acquires, and operates media and entertainment companies.
When Eisner was bicycling around Italy, he saw a signpost that inspired the name Tornante for his company. Tornante means ""hairpin turn"" in Italian."
Thoma Bravo,"Thoma Bravo, LP is an American private equity and growth capital firm based in Chicago, Illinois. It is known for being particularly active in acquiring enterprise software companies and has over $130 billion in assets under management as of 2023.
It is the successor to the firm Golder Thoma & Co., which was established in 1980 by Stanley Golder and Carl Thoma. Thoma Bravo is led by managing partners Seth Boro, Orlando Bravo, Scott Crabill, Lee Mitchell, Holden Spaht and Carl Thoma.
The company focuses on the application, infrastructure and cybersecurity software and technology-enabled business service sectors, and uses a ""consolidation"" or ""buy and build"" investment strategy. 

"
Thomas H. Lee Partners,"Thomas H. Lee Partners, L.P. is an American private equity firm headquartered in Boston. The firm focuses on investing in middle market growth companies across various sectors, including financial technology, services, healthcare, technology, and business solutions."
Tiger Global Management,"Tiger Global Management, LLC (often referred to as Tiger Global and formerly known as Tiger Technology) is an American investment firm founded by Chase Coleman III, a former Tiger Management employee under Julian Robertson, in March 2001. It mainly focuses on internet, software, consumer, and financial technology companies."
TowerBrook Capital Partners,"TowerBrook Capital Partners, L.P. is an investment management firm headquartered in London and New York City. TowerBrook spun out of Soros Fund Management in 2005 and became known for acquiring majority stakes in companies such as Jimmy Choo. Managing $13.7 billion in a number of private equity funds and structured opportunities funds, TowerBrook listed 30 active investments on its website as of 2020."
Trilantic Capital Partners,"Trilantic Capital Partners is a global private equity firm focused on control and significant minority investments across a range of industries in North America and Europe managed by Trilantic North America and Trilantic Europe.   The firm specializes in management buyouts, recapitalizations, growth equity, middle market investments and corporate divestitures investments.  Trilantic invests through equity and equity-linked securities transactions.
Trilantic North America primarily targets investments in the business services, consumer, energy and financial services sectors; Trilantic Europe primarily targets investments in business services, consumer and leisure, healthcare, industrial and TMT sectors. The firm has managed six institutional private equity funds with aggregate capital commitments of $9.7 billion, as of July 2019."
Trimaran Capital Partners,"Trimaran Capital Partners is a middle-market private equity firm formerly affiliated with CIBC World Markets. Trimaran is headquartered in New York City and founded by former investment bankers from Drexel Burnham Lambert.  Trimaran's predecessors were early investors in telecom and Internet businesses, most notably backing Global Crossing in 1997.  Trimaran also led the first leveraged buyout of an integrated electric utility.
Since 1995, Trimaran and its successor entities have invested approximately $1.6 billion of equity in fifty-nine companies through transactions totaling more than $10 billion in total value.  In addition, Trimaran's debt business has managed approximately $1.5 billion of leveraged loans across four collateralized loan obligation vehicles.
Since 2006,  one of its co-founders, Andrew Heyer, lead a spinout of a portion of its team to form Mistral Equity Partners  In 2008, the two remaining managing partners entered into a venture with Nelson Peltz’s Trian to create a new debt-focused business development company.
The firm is named for the trimaran, a multi-hulled boat consisting of a main hull and two smaller outrigger hulls.  The firm's principals had used nautical terms to describe their predecessor entities including argosy, a merchant ship, or a fleet of such ships and caravelle, a small, highly maneuverable, two- or three-masted ship."
Trivest,"Trivest Partners, L.P. is among the oldest private equity firms in the Southeast U.S., founded in 1981, and focuses exclusively on founder and family-owned businesses. Trivest is headquartered in Miami, Florida with regional offices in Charlotte, Chicago, Denver, Los Angeles, New York and Toronto. Trivest has provided ""Private Equity for Founders"" in the lower middle market through its flexibility in transaction structuring and related ""Just Say No"" program, which eliminates the typical pain points faced by founders looking for outside investment. The firm is largely industry-agnostic, but focuses on investments in the consumer, business services, healthcare, value-added distribution and niche manufacturing sectors."
Two River,"Two River Group Holdings is a New York-based venture capital firm and merchant bank focused on the life science sector. It specializes in investments in life science, biotechnology, and in firms focused on developing preventive and therapeutic technologies for a broad spectrum of disease areas including oncology, cardiovascular disease, neurological disorders, and companion animal health care.
Two River was founded in September 2004 by partners Joshua Kazam, Peter Kash, David Tanen, and Benjamin Bernstein. Dr. Arie Belldegrun joined the firm in 2008 as its Chairman and Partner.
The firm has offices in New York City and Los Angeles."
Uncork Capital,"Uncork Capital (formerly known as SoftTech VC) is an American venture capital firm based in San Francisco, California, that was founded by Jeff Clavier. It is considered one of the most active established seed funds in Silicon Valley, with investments in companies such as Postmates, Eventbrite, Fitbit, and SendGrid."
Union Square Ventures,"Union Square Ventures (USV) is an American venture capital firm based in New York City. The firm has backed more than 130 startups, including Twitter, Etsy, Stripe, Coinbase, Zynga, Tumblr, Stack Overflow, Meetup, Kickstarter, MongoDB, Flurry, and Carta."
Universal Investment,"Universal Investment is a group of companies headquartered in Frankfurt am Main with three regulated investment companies based in Germany, Luxembourg and Ireland. Biggest part is Universal-Investment Gesellschaft mbH, founded in 1968. Core offerings are investment fund services and management company services for asset management companies and institutional investors. The company launches and administers funds for all asset classes such as securities, alternative investments and real estate.
Universal Investment manages more than a trillion euros in about 2,000 funds with over 1,700 employees. The company is an affiliate member of Investment Association. With Universal-Investment-Luxembourg S.A., Universal Investment is also active in Luxembourg, where it is one of the 20 largest management companies with assets under administration of 108 billion euros."
VP Bank,"VP Bank AG is a Liechtenstein-based bank headquartered in Vaduz and specialized in private banking. It was founded on April 6, 1956 by Princely Councillor of Commerce Guido Feger and is one of the three major banks in Liechtenstein along with the LGT Group and the LLB.
In addition to its head office in Liechtenstein, VP Bank Group has subsidiary companies with banking licences in Switzerland, Luxembourg, the British Virgin Islands and Singapore.
The A registered shares of VP Bank are listed on SIX Swiss Exchange in Zürich, Switzerland."
Veritas Capital,"Veritas Capital Fund Management, L.L.C. is a New York–based private-equity firm founded in 1992 that invests in companies providing critical products and services, primarily technology-enabled products and services, to government and commercial customers worldwide. The firm's first fund closed in 1998. They closed an eighth flagship fund in 2022; in all, Veritas has approximately $45 billion of assets under management. Veritas is led by Ramzi Musallam, the firm's Chief Executive Officer and Managing Partner.
In June 2024, Veritas Capital ranked 46th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Veronis Suhler Stevenson,"Veronis Suhler Stevenson, known by its initials, VSS, is a private investment firm that invests in the information, business services, healthcare IT, education, media and marketing industries in North America and Europe.
Since 1987, VSS has managed seven private investment funds with aggregate initial capital commitments totaling over $3 billion, including four equity funds and two structured capital funds. To date, VSS funds have invested in 74 platform companies, which have together completed over 330 add-on acquisitions.
VSS has headquarters in New York City, and has offices in London, where it operates as Veronis Suhler Stevenson International Ltd."
Vestar Capital Partners,"Vestar Capital Partners is an American private equity firm focusing on leveraged buyout transactions in middle-market companies in the United States.
The firm, which was founded in 1988, is headquartered in New York City with offices in Boston, Massachusetts and Denver, Colorado, in the U.S."
Vista Equity Partners,"Vista Equity Partners Management, LLC is an American private equity firm that invests in software, data, and technology-enabled businesses. It is one of the largest private equity firms in the world, managing over $100 billion in assets. Vista Equity Partners has invested in hundreds of technology companies, including Citrix, SentinelOne, and Marketo. The company has offices in several cities, including Austin, Chicago, New York, and San Francisco."
